Component,d33 (pC/N),Tc (°C)
0.998(0.948K0.5Na0.5NbO3−0.052LiSbO3)−0.002BiAlO3,233.0,286
(K0.5Na0.5)0.92Li0.04Sr0.02Nb0.98Sb0.02O3,142.0,452
0.98[(K0.4725Na0.4725Li0.055)]0.98Ag0.02(Nb0.98Ta0.02)O3,237.0,437
(K0.5Na0.5)0.82Ag0.18NbO3,186.0,357
0.955K0.35Na0.65NbO3–0.02BaZrO3–0.025Bi0.5Na0.5ZrO3 ,345.0,292
(K0.48Na0.48Ca0.02)(Nb0.85Ta0.15O3),155.0,372
(Na0.52K0.48)(Nb0.91Sb0.09)O3,230.0,349
0.98(Na0.5K0.5)NbO3−0.02BiScO3,210.0,245
 0.96K0.5Na0.5NbO3-0.04CaZrO3,154.0,373
(Na0.52K0.40)(Nb0.84Sb0.08)O3−0.055LiTaO3−0.025BaZrO3,365.0,295
0.94(K0.34Na0.6Ba0.06Nb0.94Zr0.06)O3–0.06LiSbO3 ,344.0,308
0.96K0.46Na0.54Nb0.95Sb0.05O3−0.04Bi0.5(Na0.82K0.18)0.5ZrO3,465.0,228
[(Na0.535K0.480)0.966Li0.058](Nb0.90Ta0.10)O3,268.0,443
0.058LiNbO3−0.942(Na0.535K0.480)NbO3,314.0,414
0.96K0.48Na0.52NbO3−0.03Bi0.5(Na0.7K0.2Li0.1)0.5ZrO3−0.01B0.5Na0.5TiO3,285.0,305
0.992(K0.46Na0.54)0.965Li0.035Nb0.975Sb0.025O3−0.008BiScO3,325.0,245
(Na0.535K0.485)0.926Li0.074(Nb0.942Ta0.058)O3,276.0,446
0.92(Na0.535K0.48)NbO3−0.08LiNbO3,280.0,459
0.95(K0.5Na0.5)NbO3–0.05(Bi0.5Na0.5)ZrO3–0.1ZnO,320.0,263
(Na0.50K0.47Li0.03)(Nb0.8Ta0.2)O3 + MnO2 + Li2CO3,310.0,455
(K0.5Na0.5)(Nb0.97Sb0.03)O3,208.0,341
(K0.463Na0.537)0.946Li0.054NbO3,254.0,431
(Na0.535K0.485)0.95Li0.05(Nb0.8Ta0.2)O3,243.0,402
Li0.02(Na0.55K0.45)0.98(Nb0.77Ta0.18Sb0.05)O3,256.0,417
0.92(K0.445Na0.50Li0.055)NbO3–0.08BaZrO3,317.0,305
0.955K0.48Na0.52NbO3–0.01B0.5Na0.5TiO3-0.035Bi0.5(Na0.7K0.2Li0.1)0.5ZrO3,310.0,290
0.98(K0.5Na0.5)NbO3–0.02(Bi0.5K0.5)TiO3 ,251.0,257
0.996(0.95Na0.5K0.5NbO3–0.05LiSbO3)–0.004BiFeO3,260.0,255
0.99(Na0.5K0.5)NbO3-0.01BiAlO3,202.0,250
0.996[(K0.458Na0.542)0.96Li0.04](Nb0.85Ta0.15)O3–0.004BiFeO3,261.0,247
0.995Li0.03(Na0.53K0.48)0.97Nb0.8Ta0.2O3–0.005BiFeO3,238.0,306
0.98(Na0.5K0.5)NbO3-0.02BaTiO3,104.0,398
(K0.44Na0.52Li0.04)(Nb0.86Ta0.1Sb0.04)O3-0.025MnO2,176.0,410
0.96K0.48Na0.52NbO3–0.03Bi0.5(Na0.7K0.2Li0.1)0.5ZrO3–0.01B0.5Na0.5TiO3,285.0,260
